scenario,method,seed,total_cost,service_level,scri_viol,VaR95,TVaR95
S1,"sS(s=20,S=60)",42,4446.61,0.45096611178173773,1.38,1237.558,1273.286
S1,"sS(s=20,S=65)",42,4407.788,0.4724816325834473,1.44,1233.7344,1269.816
S1,"sS(s=20,S=70)",42,4365.6759999999995,0.4930085588513129,1.32,1234.0739999999998,1271.856
S1,"sS(s=20,S=75)",42,4330.212,0.5133955169795597,1.28,1226.2028,1264.766
S1,"sS(s=20,S=80)",42,4296.638,0.5298587681375715,1.32,1225.6084,1264.454
S1,"sS(s=20,S=85)",42,4282.702,0.5433109975761772,1.34,1228.5603999999998,1266.55
S1,"sS(s=20,S=90)",42,4259.505999999999,0.554715098407061,1.28,1242.0472,1286.118
S1,"sS(s=20,S=95)",42,4233.292,0.5690917039192455,1.18,1250.9112,1298.6580000000001
S1,"sS(s=25,S=100)",42,4208.564,0.5863430333211676,1.12,1247.262,1294.6480000000001
S1,"sS(s=25,S=30)",42,4846.488,0.27646508958427796,1.64,1317.4968,1350.5320000000002
S1,"sS(s=25,S=35)",42,4758.388,0.3136280494645519,1.62,1293.7116,1327.398
S1,"sS(s=25,S=40)",42,4677.58,0.34830482291254017,1.56,1273.308,1307.838
S1,"sS(s=25,S=45)",42,4600.196,0.38110307302880814,1.44,1255.1996,1290.322
S1,"sS(s=25,S=50)",42,4538.326,0.4090519729568766,1.42,1247.256,1283.8980000000001
S1,"sS(s=25,S=55)",42,4479.82,0.435424932028126,1.4,1239.3496,1275.8319999999999
S1,"sS(s=25,S=60)",42,4430.09,0.4579733508908068,1.3,1234.1324,1270.246
S1,"sS(s=25,S=65)",42,4400.294,0.4754415762450956,1.44,1232.9104,1268.796
S1,"sS(s=25,S=70)",42,4353.234,0.49753939583467577,1.28,1229.6612,1267.8319999999999
S1,"sS(s=25,S=75)",42,4312.622,0.519138054256747,1.24,1223.91,1263.502
S1,"sS(s=25,S=80)",42,4282.1140000000005,0.5369665956642575,1.3,1221.6208,1261.154
