scenario,method,seed,episode,service_level,total_cost,scri_viol,VaR95,TVaR95
S1,qlearning,0,318,0.18097014925373134,5137.0,0,1325.6,1339.0
S1,qlearning,0,319,0.16622086358425678,5524.0,0,1668.8,1773.0
S1,qlearning,0,320,0.17712177121771217,6074.5,2,1691.2,1754.5
S1,qlearning,0,321,0.18496654860291223,5109.0,0,1216.4,1224.0
S1,qlearning,0,322,0.17064280980781976,5483.0,0,1406.2,1418.0
S1,qlearning,0,323,0.16987740805604204,5774.0,0,1434.2,1447.0
S1,qlearning,0,324,0.15005557613931086,5565.0,1,1989.3999999999999,2171.0
S1,qlearning,0,325,0.125250501002004,7483.5,0,2181.4,2274.5
S1,qlearning,0,326,0.12071651090342679,6048.0,4,1720.1999999999998,1826.0
S1,qlearning,0,327,0.14973464746019713,6397.5,2,2107.7999999999997,2307.5
S1,qlearning,0,328,0.1584122359796067,6799.5,1,1588.6,1590.5
S1,qlearning,0,329,0.12283236994219653,6052.0,5,1864.8,1985.0
S1,qlearning,0,330,0.18629407850964738,7271.5,0,2239.7999999999997,2314.5
S1,qlearning,0,331,0.1893353941267388,6096.5,4,2345.3999999999996,2552.5
S1,qlearning,0,332,0.13494062612450522,6345.5,5,2211.3999999999996,2446.5
S1,qlearning,0,333,0.1349929873772791,5973.5,1,1861.3999999999999,1934.5
S1,qlearning,0,334,0.13518518518518519,6333.0,0,1857.6,1965.0
S1,qlearning,0,335,0.14312267657992564,5805.0,0,1598.0,1620.0
S1,qlearning,0,336,0.1942472917444901,5821.0,0,1725.3999999999999,1779.0
S1,qlearning,0,337,0.1782042494859493,6640.833333333333,1,1865.0666666666668,1892.3333333333335
S1,qlearning,0,338,0.1564310544611819,6238.5,0,1669.6,1671.5
S1,qlearning,0,339,0.12796386902521642,5284.0,0,1725.6,1811.0
S1,qlearning,0,340,0.1377551020408163,6129.5,4,1706.6,1728.5
S1,qlearning,0,341,0.13683431952662722,5915.333333333333,5,1628.4,1629.0
S1,qlearning,0,342,0.1265322261763543,5958.0,4,2144.6,2377.0
S1,qlearning,0,343,0.16323357947920716,4973.0,0,1445.0,1502.0
S1,qlearning,0,344,0.1343804537521815,6436.0,5,1764.1999999999998,1886.0
S1,qlearning,0,345,0.16319942611190819,6598.0,3,2009.8,2149.0
S1,qlearning,0,346,0.13402061855670103,6187.0,0,1663.6,1729.0
S1,qlearning,0,347,0.12023677395486497,5906.0,0,1812.3999999999999,1854.0
S1,qlearning,0,348,0.13436044428520244,5515.3,1,1648.6,1751.0
S1,qlearning,0,349,0.12815884476534295,7504.5,0,2004.1,2013.0
S1,qlearning,0,350,0.14574426739214924,5073.0,0,1541.1999999999998,1620.0
